,realtime_start,realtime_end,date,value
463,2024-12-12,2024-12-12,1986-08-01,6.9
464,2024-12-12,2024-12-12,1986-09-01,7.0
465,2024-12-12,2024-12-12,1986-10-01,7.0
466,2024-12-12,2024-12-12,1986-11-01,6.9
467,2024-12-12,2024-12-12,1986-12-01,6.6
468,2024-12-12,2024-12-12,1987-01-01,6.6
469,2024-12-12,2024-12-12,1987-02-01,6.6
470,2024-12-12,2024-12-12,1987-03-01,6.6
471,2024-12-12,2024-12-12,1987-04-01,6.3
472,2024-12-12,2024-12-12,1987-05-01,6.3
473,2024-12-12,2024-12-12,1987-06-01,6.2
474,2024-12-12,2024-12-12,1987-07-01,6.1
475,2024-12-12,2024-12-12,1987-08-01,6.0
476,2024-12-12,2024-12-12,1987-09-01,5.9
477,2024-12-12,2024-12-12,1987-10-01,6.0
478,2024-12-12,2024-12-12,1987-11-01,5.8
479,2024-12-12,2024-12-12,1987-12-01,5.7
480,2024-12-12,2024-12-12,1988-01-01,5.7
481,2024-12-12,2024-12-12,1988-02-01,5.7
482,2024-12-12,2024-12-12,1988-03-01,5.7
483,2024-12-12,2024-12-12,1988-04-01,5.4
484,2024-12-12,2024-12-12,1988-05-01,5.6
485,2024-12-12,2024-12-12,1988-06-01,5.4
486,2024-12-12,2024-12-12,1988-07-01,5.4
487,2024-12-12,2024-12-12,1988-08-01,5.6
488,2024-12-12,2024-12-12,1988-09-01,5.4
489,2024-12-12,2024-12-12,1988-10-01,5.4
490,2024-12-12,2024-12-12,1988-11-01,5.3
491,2024-12-12,2024-12-12,1988-12-01,5.3
492,2024-12-12,2024-12-12,1989-01-01,5.4
493,2024-12-12,2024-12-12,1989-02-01,5.2
494,2024-12-12,2024-12-12,1989-03-01,5.0
495,2024-12-12,2024-12-12,1989-04-01,5.2
496,2024-12-12,2024-12-12,1989-05-01,5.2
497,2024-12-12,2024-12-12,1989-06-01,5.3
498,2024-12-12,2024-12-12,1989-07-01,5.2
499,2024-12-12,2024-12-12,1989-08-01,5.2
500,2024-12-12,2024-12-12,1989-09-01,5.3
501,2024-12-12,2024-12-12,1989-10-01,5.3
502,2024-12-12,2024-12-12,1989-11-01,5.4
503,2024-12-12,2024-12-12,1989-12-01,5.4
504,2024-12-12,2024-12-12,1990-01-01,5.4
505,2024-12-12,2024-12-12,1990-02-01,5.3
506,2024-12-12,2024-12-12,1990-03-01,5.2
507,2024-12-12,2024-12-12,1990-04-01,5.4
508,2024-12-12,2024-12-12,1990-05-01,5.4
